CPU: CPU with timer interrupt, speed 0 MHz (estimated)
Profiling through timer interrupt
samples  %        image name               app name                 symbol name
47        0.0347  libuhd.so.003.002        libuhd.so.003.002        e100_mmap_zero_copy_impl::get_send_buff(double)
47        0.0347  libuhd.so.003.002        libuhd.so.003.002        multi_usrp_impl::get_device()
46        0.0340  libm-2.12.2.so           libm-2.12.2.so           lrintf
44        0.0325  transceiver              transceiver              correlate(signalVector*, signalVector*, signalVector*, ConvType, bool, unsigned int, unsigned int)
43        0.0318  libuhd.so.003.002        libuhd.so.003.002        uhd::time_spec_t::get_frac_secs() const
42        0.0310  libuhd.so.003.002        libuhd.so.003.002        e100_mmap_zero_copy_msb::commit(unsigned int)
42        0.0310  libuhd.so.003.002        libuhd.so.003.002        uhd::time_spec_t::time_spec_t(long, long, double)
41        0.0303  OpenBTS                  OpenBTS                  BitVector::parity(Generator&) const
41        0.0303  OpenBTS                  OpenBTS                  GSM::Clock::FN() const
41        0.0303  libpthread-2.12.2.so     libpthread-2.12.2.so     pthread_testcancel
41        0.0303  libuhd.so.003.002        libuhd.so.003.002        e100_ctrl_impl::ioctl(int, void*)
41        0.0303  libuhd.so.003.002        libuhd.so.003.002        uhd::operator<(uhd::time_spec_t const&, uhd::time_spec_t const&)
39        0.0288  OpenBTS                  OpenBTS                  BitVector::map(unsigned int const*, unsigned int, BitVector&) const
39        0.0288  OpenBTS                  OpenBTS                  BitVector::peekField(unsigned int, unsigned int) const
39        0.0288  libm-2.12.2.so           libm-2.12.2.so           isnanl
39        0.0288  libuhd.so.003.002        libuhd.so.003.002        boost::detail::function::void_function_invoker4<void (*)(uhd::ref_vector<void const*> const&, uhd::ref_vector<void*> const&, unsigned int, double), void, uhd::ref_vector<void const*> const&, uhd::ref_vector<void*> const&, unsigned int, double>::invoke(boost::detail::function::function_buffer&, uhd::ref_vector<void const*> const&, uhd::ref_vector<void*> const&, unsigned int, double)
38        0.0281  libuhd.so.003.002        libuhd.so.003.002        e100_impl::io_impl::recv_pirate_loop(boost::shared_ptr<uhd::spi_iface>)
38        0.0281  transceiver              transceiver              uhd_device::check_rx_md_err(uhd::rx_metadata_t&, int)
37        0.0273  libc-2.12.2.so           libc-2.12.2.so           __libc_enable_asynccancel
37        0.0273  libc-2.12.2.so           libc-2.12.2.so           compute_change
37        0.0273  libuhd.so.003.002        libuhd.so.003.002        uhd::time_spec_t::time_spec_t(double)
37        0.0273  transceiver              transceiver              TransmitPriorityQueueServiceLoopAdapter(Transceiver*)
37        0.0273  transceiver              transceiver              convert_time(unsigned long long, double)
36        0.0266  transceiver              transceiver              smpl_buf::avail_smpls(unsigned long long) const
35        0.0259  oprofiled                oprofiled                /usr/bin/oprofiled
35        0.0259  transceiver              transceiver              smpl_buf::write(void*, unsigned int, uhd::time_spec_t)
34        0.0251  OpenBTS                  OpenBTS                  BitVector::unmap(unsigned int const*, unsigned int, BitVector&) const
33        0.0244  OpenBTS                  OpenBTS                  GSM::TCHFACCHL1Decoder::writeLowSide(GSM::RxBurst const&)
33        0.0244  OpenBTS                  OpenBTS                  GSM::TCHFACCHL1Encoder::encodeTCH(GSM::VocoderFrame const&)
33        0.0244  OpenBTS                  OpenBTS                  SIP::SIPEngine::MTDCheckBYE()
33        0.0244  libc-2.12.2.so           libc-2.12.2.so           usleep
33        0.0244  transceiver              transceiver              convert_time(uhd::time_spec_t, double)
32        0.0236  OpenBTS                  OpenBTS                  std::_Rb_tree<std::string, std::pair<std::string const, SIP::OSIPMessageFIFO*>, std::_Select1st<std::pair<std::string const, SIP::OSIPMessageFIFO*> >, std::less<std::string>, std::allocator<std::pair<std::string const, SIP::OSIPMessageFIFO*> > >::find(std::string const&) const
32        0.0236  transceiver              transceiver              DatagramSocket::write(char const*, unsigned int)
31        0.0229  OpenBTS                  OpenBTS                  GSM::L1Encoder::resync()
30        0.0222  libc-2.12.2.so           libc-2.12.2.so           ioctl
30        0.0222  transceiver              transceiver              VectorQueue::getCurrentBurst(GSM::Time const&)
29        0.0214  libm-2.12.2.so           libm-2.12.2.so           __ieee754_exp
28        0.0207  libc-2.12.2.so           libc-2.12.2.so           strtol
28        0.0207  libpthread-2.12.2.so     libpthread-2.12.2.so     recv
27        0.0199  OpenBTS                  OpenBTS                  GSM::L1Decoder::recyclable() const
27        0.0199  OpenBTS                  OpenBTS                  SIP::SIPEngine::RxFrame(unsigned char*)
26        0.0192  libpthread-2.12.2.so     libpthread-2.12.2.so     _pthread_cleanup_pop
25        0.0185  OpenBTS                  OpenBTS                  Control::TransactionEntry::timerExpired() const
25        0.0185  libpthread-2.12.2.so     libpthread-2.12.2.so     __pthread_mutex_cond_lock
24        0.0177  OpenBTS                  OpenBTS                  ViterbiR2O4::initializeStates()
24        0.0177  libc-2.12.2.so           libc-2.12.2.so           tzset_internal
24        0.0177  libuhd.so.003.002        libuhd.so.003.002        boost::date_time::c_time::gmtime(long const*, tm*)
23        0.0170  OpenBTS                  OpenBTS                  GSM::L2LAPDm::readHighSide(unsigned int)
23        0.0170  libpthread-2.12.2.so     libpthread-2.12.2.so     __errno_location
22        0.0163  libc-2.12.2.so           libc-2.12.2.so           select
22        0.0163  libpthread-2.12.2.so     libpthread-2.12.2.so     pthread_mutex_trylock
22        0.0163  libuhd.so.003.002        libuhd.so.003.002        uhd::tx_metadata_t::tx_metadata_t()
21        0.0155  libm-2.12.2.so           libm-2.12.2.so           lround
20        0.0148  OpenBTS                  OpenBTS                  BitVector::fillField(unsigned int, unsigned long long, unsigned int)
20        0.0148  OpenBTS                  OpenBTS                  GSM::LogicalChannel::recv(unsigned int, unsigned int)
20        0.0148  OpenBTS                  OpenBTS                  updateGSMSignalling(Control::TransactionEntry&, GSM::LogicalChannel*, unsigned int)
20        0.0148  libc-2.12.2.so           libc-2.12.2.so           __tz_compute
19        0.0140  OpenBTS                  OpenBTS                  DatagramSocket::read(char*)
19        0.0140  OpenBTS                  OpenBTS                  GSM::FNDelta(int, int)
19        0.0140  OpenBTS                  OpenBTS                  GSM::L1Encoder::active() const
19        0.0140  OpenBTS                  OpenBTS                  Timeval::passed() const
19        0.0140  libuhd.so.003.002        libuhd.so.003.002        e100_ctrl_impl::peek32(unsigned int)
18        0.0133  libuhd.so.003.002        libuhd.so.003.002        e100_mmap_zero_copy_mrb::get_buff() const
17        0.0126  OpenBTS                  OpenBTS                  GSM::XCCHL1Encoder::interleave()
17        0.0126  transceiver              transceiver              smpl_buf::read(void*, unsigned int, unsigned long long)
16        0.0118  OpenBTS                  OpenBTS                  BitVector::unpack(unsigned char const*)
16        0.0118  OpenBTS                  OpenBTS                  UDPSocket::addressSize() const
16        0.0118  OpenBTS                  OpenBTS                  pollInCall(Control::TransactionEntry&, GSM::TCHFACCHLogicalChannel*)
16        0.0118  libuhd.so.003.002        libuhd.so.003.002        uhd::time_spec_t::operator+=(uhd::time_spec_t const&)
15        0.0111  OpenBTS                  OpenBTS                  GSM::L1Decoder::active() const
15        0.0111  OpenBTS                  OpenBTS                  PointerFIFO::get()
15        0.0111  [vectors] (tgid:618 range:0xffff0000-0xffff1000) asterisk                 [vectors] (tgid:618 range:0xffff0000-0xffff1000)
15        0.0111  libuhd.so.003.002        libuhd.so.003.002        e100_mmap_zero_copy_mrb::release()
14        0.0103  libpthread-2.12.2.so     libpthread-2.12.2.so     sendmsg
14        0.0103  transceiver              transceiver              UDPSocket::addressSize() const
13        0.0096  app_echo.so              app_echo.so              /usr/lib/asterisk/modules/app_echo.so
13        0.0096  libc-2.12.2.so           libc-2.12.2.so           random
11        0.0081  OpenBTS                  OpenBTS                  GSM::XCCHL1Decoder::deinterleave()
11        0.0081  OpenBTS                  OpenBTS                  callManagementLoop(Control::TransactionEntry&, GSM::TCHFACCHLogicalChannel*)
11        0.0081  libavahi-common.so.3.5.1 libavahi-common.so.3.5.1 /usr/lib/libavahi-common.so.3.5.1
11        0.0081  libavahi-core.so.6.0.1   libavahi-core.so.6.0.1   /usr/lib/libavahi-core.so.6.0.1
11        0.0081  libpthread-2.12.2.so     libpthread-2.12.2.so     _pthread_cleanup_push
11        0.0081  libpthread-2.12.2.so     libpthread-2.12.2.so     fcntl
11        0.0081  libuhd.so.003.002        libuhd.so.003.002        e100_mmap_zero_copy_msb::get_buff() const
10        0.0074  OpenBTS                  OpenBTS                  BitVector::reverse8()
10        0.0074  OpenBTS                  OpenBTS                  GSM::SACCHLogicalChannel::serviceLoop()
10        0.0074  OpenBTS                  OpenBTS                  GSM::XCCHL1Encoder::sendFrame(GSM::L2Frame const&)
10        0.0074  OpenBTS                  OpenBTS                  gWriteGSMTAP(unsigned int, unsigned int, unsigned int, GSM::TypeAndOffset, bool, bool, BitVector const&)
10        0.0074  libc-2.12.2.so           libc-2.12.2.so           __nss_hostname_digits_dots
10        0.0074  libc-2.12.2.so           libc-2.12.2.so           gmtime_r
10        0.0074  libc-2.12.2.so           libc-2.12.2.so           random_r
9         0.0066  OpenBTS                  OpenBTS                  GSM::GeneratorL1Encoder::serviceLoop()
9         0.0066  OpenBTS                  OpenBTS                  GSM::L2Frame::idleFill()
9         0.0066  OpenBTS                  OpenBTS                  GSM::SACCHL1Encoder::sendFrame(GSM::L2Frame const&)
9         0.0066  OpenBTS                  OpenBTS                  GSM::TCHFACCHL1Decoder::uplinkLost() const
9         0.0066  libc-2.12.2.so           libc-2.12.2.so           ____strtoul_l_internal
9         0.0066  libm-2.12.2.so           libm-2.12.2.so           exp
9         0.0066  libpthread-2.12.2.so     libpthread-2.12.2.so     pthread_cond_broadcast@@GLIBC_2.4
9         0.0066  libuhd.so.003.002        libuhd.so.003.002        e100_mmap_zero_copy_impl::get_num_send_frames() const
8         0.0059  OpenBTS                  OpenBTS                  BitVector::syndrome(Generator&) const
8         0.0059  OpenBTS                  OpenBTS                  GSM::L1Encoder::sibling() const
8         0.0059  OpenBTS                  OpenBTS                  GSM::L1Encoder::waitToSend() const
8         0.0059  OpenBTS                  OpenBTS                  PointerFIFO::allocate()
8         0.0059  libc-2.12.2.so           libc-2.12.2.so           time
7         0.0052  OpenBTS                  OpenBTS                  GSM::XCCHL1Decoder::writeLowSide(GSM::RxBurst const&)
7         0.0052  OpenBTS                  OpenBTS                  SIP::SIPInterface::fifoSize(std::string const&)
6         0.0044  OpenBTS                  OpenBTS                  BitVector::LSB8MSB()
6         0.0044  libpthread-2.12.2.so     libpthread-2.12.2.so     __local_syscall_error
6         0.0044  libuhd.so.003.002        libuhd.so.003.002        e100_mmap_zero_copy_mrb::get_size() const
6         0.0044  transceiver              transceiver              uhd_device::recv_async_msg()
5         0.0037  OpenBTS                  OpenBTS                  BitVector::pack(unsigned char*) const
5         0.0037  OpenBTS                  OpenBTS                  BitVector::writeField(unsigned int&, unsigned long long, unsigned int)
5         0.0037  OpenBTS                  OpenBTS                  GSM::Clock::wait(GSM::Time const&) const
5         0.0037  OpenBTS                  OpenBTS                  GSM::L1Decoder::countGoodFrame()
5         0.0037  OpenBTS                  OpenBTS                  GSM::L1FEC::active() const
5         0.0037  OpenBTS                  OpenBTS                  GSM::SCHL1Encoder::generate()
5         0.0037  OpenBTS                  OpenBTS                  GSM::TCHFACCHL1EncoderRoutine(GSM::TCHFACCHL1Encoder*)
5         0.0037  OpenBTS                  OpenBTS                  GSM::XCCHL1Encoder::writeHighSide(GSM::L2Frame const&)
5         0.0037  OpenBTS                  OpenBTS                  ReceiveLoopAdapter(ARFCNManager*)
5         0.0037  OpenBTS                  OpenBTS                  SIP::SIPEngine::TxFrame(unsigned char*)
5         0.0037  OpenBTS                  OpenBTS                  updateSignalling(Control::TransactionEntry&, GSM::LogicalChannel*, unsigned int)
5         0.0037  libc-2.12.2.so           libc-2.12.2.so           __xstat
5         0.0037  libpthread-2.12.2.so     libpthread-2.12.2.so     pthread_self
5         0.0037  libpthread-2.12.2.so     libpthread-2.12.2.so     read
5         0.0037  libuhd.so.003.002        libuhd.so.003.002        e100_mmap_zero_copy_impl::get_num_recv_frames() const
4         0.0030  OpenBTS                  OpenBTS                  GSM::L1Decoder::countBadFrame()
4         0.0030  OpenBTS                  OpenBTS                  GSM::XCCHL1Encoder::transmit()
4         0.0030  OpenBTS                  OpenBTS                  Parity::writeParityWord(BitVector const&, BitVector&, bool)
4         0.0030  dropbearmulti            dropbearmulti            /usr/sbin/dropbearmulti
4         0.0030  libc-2.12.2.so           libc-2.12.2.so           __xstat32_conv
4         0.0030  libc-2.12.2.so           libc-2.12.2.so           gethostbyname2_r@@GLIBC_2.4
4         0.0030  libc-2.12.2.so           libc-2.12.2.so           memmove
4         0.0030  transceiver              transceiver              PointerFIFO::release(ListNode*)
3         0.0022  OpenBTS                  OpenBTS                  GSM::L2LAPDm::serviceLoop()
3         0.0022  OpenBTS                  OpenBTS                  GSM::SAPMux::writeHighSide(GSM::L2Frame const&)
3         0.0022  OpenBTS                  OpenBTS                  GSM::XCCHL1Encoder::encode()
3         0.0022  OpenBTS                  OpenBTS                  GSM::Z100Timer::set()
3         0.0022  OpenBTS                  OpenBTS                  PointerFIFO::put(void*)
3         0.0022  OpenBTS                  OpenBTS                  UDPSocket::destination(unsigned short, char const*)
3         0.0022  OpenBTS                  OpenBTS                  encodePower(int)
3         0.0022  ld-2.12.2.so             ld-2.12.2.so             __tls_get_addr
3         0.0022  libc-2.12.2.so           libc-2.12.2.so           _IO_vfscanf
3         0.0022  libc-2.12.2.so           libc-2.12.2.so           __errno_location
3         0.0022  libc-2.12.2.so           libc-2.12.2.so           __res_maybe_init
3         0.0022  libc-2.12.2.so           libc-2.12.2.so           _res_hconf_reorder_addrs
3         0.0022  libc-2.12.2.so           libc-2.12.2.so           inet_aton
3         0.0022  libc-2.12.2.so           libc-2.12.2.so           vfprintf
3         0.0022  libpthread-2.12.2.so     libpthread-2.12.2.so     __h_errno_location
3         0.0022  libuhd.so.003.002        libuhd.so.003.002        bool boost::condition_variable_any::timed_wait<boost::unique_lock<boost::mutex>, boost::posix_time::time_duration, boost::function<bool ()()> >(boost::unique_lock<boost::mutex>&, boost::posix_time::time_duration const&, boost::function<bool ()()>)
2         0.0015  OpenBTS                  OpenBTS                  GSM::BCCHL1Encoder::generate()
2         0.0015  OpenBTS                  OpenBTS                  GSM::L2LAPDm::writeHighSide(GSM::L3Frame const&)
2         0.0015  OpenBTS                  OpenBTS                  GSM::L2LAPDm::writeL1(GSM::L2Frame const&)
